txn_id,timestamp,source,amount,merchant,raw_desc,city,category,is_fraud
TX9988308126,2025-01-05T19:10:19.699231,credit_card,3051.82,MakeMyTrip,POS MAKEMYTRIP KOLKATA,Bengaluru,travel,0
TX5194190324,2025-01-06T05:20:55.580407,upi,815.5,blinkit@paytm,UPI/blinkit@paytm/461603/payment,Hyderabad,groceries,0
TX2622100473,2025-01-06T08:24:28.731999,upi,113.14,dominos@upi,UPI/dominos@upi/743521/payment,Bengaluru,food,0
TX1451423439,2025-01-06T08:41:56.904927,credit_card,217.14,Swiggy,POS SWIGGY PUNE,Kolkata,food,0
TX9744185124,2025-01-06T09:38:00.831777,credit_card,4516.91,Myntra,POS MYNTRA MUMBAI,Pune,shopping,0
TX3646529088,2025-01-06T10:24:57.530801,credit_card,482.19,Flipkart,POS FLIPKART KOLKATA,Ahmedabad,shopping,0
TX6909153457,2025-01-06T10:40:53.789653,credit_card,40.12,Swiggy,POS SWIGGY HYDERABAD,Delhi,food,0
TX1326624012,2025-01-06T11:04:36.927403,credit_card,1958.57,BigBasket,POS BIGBASKET CHENNAI,Chennai,groceries,0
TX6691027215,2025-01-06T12:48:56.192964,credit_card,943.29,Airtel,POS AIRTEL DELHI,Pune,bills,0
TX5019997709,2025-01-06T13:07:41.195090,upi,919.86,kirana.shop@okicici,UPI/kirana.shop@okicici/932261/payment,Kolkata,groceries,0
TX9802554213,2025-01-06T13:46:26.721098,credit_card,988.58,Netflix,POS NETFLIX HYDERABAD,Kolkata,entertainment,0
TX9453392977,2025-01-06T15:34:16.779746,credit_card,1644.06,Airtel,POS AIRTEL PUNE,Ahmedabad,bills,0
TX6612642542,2025-01-06T16:43:58.273792,upi,396.35,rest.ownername@okhdfc,UPI/rest.ownername@okhdfc/267470/payment,Pune,food,0
TX3150055401,2025-01-06T19:34:36.520734,credit_card,317.81,PVR Cinemas,POS PVR CINEMAS CHENNAI,Delhi,entertainment,0
TX6110462857,2025-01-07T04:12:13.495945,credit_card,997.62,Blinkit,POS BLINKIT AHMEDABAD,Kolkata,groceries,0
TX4528382156,2025-01-07T05:06:50.342065,upi,1555.49,myntra@paytm,UPI/myntra@paytm/307997/payment,Chennai,shopping,0
TX7634062340,2025-01-07T07:47:11.087554,credit_card,92.8,Dominos,POS DOMINOS BENGALURU,Mumbai,food,0
TX7286161967,2025-01-07T09:52:46.005241,credit_card,207.59,BookMyShow,POS BOOKMYSHOW PUNE,Mumbai,entertainment,0
TX4749151889,2025-01-07T10:36:19.039049,credit_card,400.81,Starbucks,POS STARBUCKS MUMBAI,Bengaluru,food,0
TX1109853503,2025-01-07T11:06:08.224856,credit_card,923.01,MakeMyTrip,POS MAKEMYTRIP CHENNAI,Kolkata,travel,0
TX7299515668,2025-01-07T11:12:43.890440,credit_card,252.43,Zomato,POS ZOMATO PUNE,Pune,food,0
TX6196409714,2025-01-07T13:43:07.955178,upi,20.0,priya.k@okhdfc,UPI/priya.k@okhdfc/967123/payment,Kolkata,transfers,0
TX9919841040,2025-01-07T14:03:10.469235,upi,1520.02,amit99@paytm,UPI/amit99@paytm/557647/payment,Bengaluru,transfers,0
TX5168277122,2025-01-07T14:06:57.261224,upi,1000.33,irctc@sbi,UPI/irctc@sbi/466498/payment,Mumbai,travel,0
TX5648664839,2025-01-07T14:11:58.210898,upi,792.03,dmart@hdfc,UPI/dmart@hdfc/612780/payment,Kolkata,groceries,0
TX9887239566,2025-01-07T14:40:15.983751,credit_card,1637.25,BigBasket,POS BIGBASKET MUMBAI,Ahmedabad,groceries,0
TX3739129574,2025-01-07T15:11:51.595918,upi,389.71,cultfit@axis,UPI/cultfit@axis/185913/payment,Pune,health,0
TX5152765842,2025-01-07T15:12:49.408818,upi,1536.93,airtel@axis,UPI/airtel@axis/606674/payment,Delhi,bills,0
TX7534600338,2025-01-07T15:14:32.677159,upi,1631.82,kirana.shop@okicici,UPI/kirana.shop@okicici/562965/payment,Delhi,groceries,0
TX1713871474,2025-01-07T15:39:33.245167,credit_card,764.58,Reliance Fresh,POS RELIANCE FRESH KOLKATA,Chennai,groceries,0
TX7531156278,2025-01-07T16:27:54.567320,upi,1155.69,jio@paytm,UPI/jio@paytm/861036/payment,Delhi,bills,0
TX7926989496,2025-01-07T16:37:01.700145,credit_card,20.0,Starbucks,POS STARBUCKS PUNE,Ahmedabad,food,0
TX7580277980,2025-01-07T17:15:02.369928,upi,1409.23,apollo@hdfc,UPI/apollo@hdfc/776819/payment,Pune,health,0
TX3279886605,2025-01-07T20:22:07.327630,upi,203.91,zomato@paytm,UPI/zomato@paytm/289361/payment,Ahmedabad,food,0
TX2074897781,2025-01-07T21:12:34.357924,upi,147.93,bookmyshow@paytm,UPI/bookmyshow@paytm/617933/payment,Hyderabad,entertainment,0
